Model,Language,Modularity
FastText,Arabic,0.6852706672
FastText,Bulgarian,0.7032552005
FastText,Catalan,0.7502148153
FastText,Croatian,0.6712826969
FastText,Czech,0.7292328597
FastText,Danish,0.7122474672
FastText,Dutch,0.747217393
FastText,English,0.747217393
FastText,Estonian,0.7751933337
FastText,Finnish,0.7522130967
FastText,French,0.7362268449
FastText,Greek,0.7572088004
FastText,Hebrew,0.4684571269
FastText,Hungarian,0.7771916152
FastText,Indonesian,0.7122474672
FastText,Italian,0.7102491857
FastText,Macedonian,0.7412225486
FastText,Norwegian,0.7252362968
FastText,Polish,0.7771916152
FastText,Portuguese,0.7771916152
FastText,Romanian,0.6572947265
FastText,Russian,0.6503007414
FastText,Slovak,0.6802749635
FastText,Slovenian,0.7831864596
FastText,Spanish,0.774194193
FastText,Swedish,0.640309334
FastText,Turkish,0.7841856004
FastText,Ukrainian,0.8011709929
FastText,Vietnamese,0.4644605639
MUSE,Arabic,0.6612912895
MUSE,Bulgarian,0.7082509042
MUSE,Catalan,0.7082509042
MUSE,Croatian,0.6552964451
MUSE,Czech,0.7182423116
MUSE,Danish,0.6882680894
MUSE,Dutch,0.7162440301
MUSE,English,0.7652019263
MUSE,Estonian,0.7522130967
MUSE,Finnish,0.6882680894
MUSE,French,0.7402234079
MUSE,Greek,0.7112483264
MUSE,Hebrew,0.39152329
MUSE,Hungarian,0.7612053634
MUSE,Indonesian,0.7222388746
MUSE,Italian,0.7162440301
MUSE,Macedonian,0.6652878524
MUSE,Norwegian,0.7112483264
MUSE,Polish,0.728233719
MUSE,Portuguese,0.7362268449
MUSE,Romanian,0.6293187858
MUSE,Russian,0.7182423116
MUSE,Slovak,0.6522990228
MUSE,Slovenian,0.7182423116
MUSE,Spanish,0.7781907559
MUSE,Swedish,0.6802749635
MUSE,Turkish,0.7672002078
MUSE,Ukrainian,0.7622045041
MUSE,Vietnamese,0.5643746378
subs2vec,Arabic,0.4404811862
subs2vec,Bulgarian,0.7871830226
subs2vec,Catalan,0.6652878524
subs2vec,Croatian,0.7252362968
subs2vec,Czech,0.7452191116
subs2vec,Danish,0.747217393
subs2vec,Dutch,0.8491297484
subs2vec,English,0.7542113782
subs2vec,Estonian,0.6642887117
subs2vec,Finnish,0.4274923566
subs2vec,French,0.8061666966
subs2vec,Greek,0.452470875
subs2vec,Hebrew,0.4284914973
subs2vec,Hungarian,0.7392242671
subs2vec,Indonesian,0.7841856004
subs2vec,Italian,0.7771916152
subs2vec,Macedonian,0.7402234079
subs2vec,Norwegian,0.7622045041
subs2vec,Polish,0.7861838819
subs2vec,Portuguese,0.8211538077
subs2vec,Romanian,0.724237156
subs2vec,Russian,0.4234957936
subs2vec,Slovak,0.7082509042
subs2vec,Slovenian,0.8211538077
subs2vec,Spanish,0.4774493935
subs2vec,Swedish,0.7981735707
subs2vec,Turkish,0.659293008
subs2vec,Ukrainian,0.663289571
subs2vec,Vietnamese,0.6013428452
