Model,Language,Modularity
FastText,Arabic,0.5920741044
FastText,Bulgarian,0.6387938224
FastText,Catalan,0.6506480792
FastText,Croatian,0.5837063938
FastText,Czech,0.6471615331
FastText,Danish,0.6520426976
FastText,Dutch,0.6708700467
FastText,English,0.6708700467
FastText,Estonian,0.6555292438
FastText,Finnish,0.6715673559
FastText,French,0.6415830593
FastText,Greek,0.6353072763
FastText,Hebrew,0.4100763972
FastText,Hungarian,0.6896973957
FastText,Indonesian,0.6429776777
FastText,Italian,0.6415830593
FastText,Macedonian,0.6248476379
FastText,Norwegian,0.6471615331
FastText,Polish,0.6659888821
FastText,Portuguese,0.6659888821
FastText,Romanian,0.5830090845
FastText,Russian,0.5885875583
FastText,Slovak,0.596955269
FastText,Slovenian,0.637399204
FastText,Spanish,0.6883027772
FastText,Swedish,0.5725494462
FastText,Turkish,0.6611077175
FastText,Ukrainian,0.7008543433
FastText,Vietnamese,0.4449418584
MUSE,Arabic,0.5837063938
MUSE,Bulgarian,0.6311234209
MUSE,Catalan,0.6311234209
MUSE,Croatian,0.5795225384
MUSE,Czech,0.6339126578
MUSE,Danish,0.6332153486
MUSE,Dutch,0.6548319345
MUSE,English,0.6645942637
MUSE,Estonian,0.6325180394
MUSE,Finnish,0.6269395656
MUSE,French,0.656226553
MUSE,Greek,0.6053229797
MUSE,Hebrew,0.2503925851
MUSE,Hungarian,0.6806323758
MUSE,Indonesian,0.6408857501
MUSE,Italian,0.6506480792
MUSE,Macedonian,0.5864956307
MUSE,Norwegian,0.6394911316
MUSE,Polish,0.6353072763
MUSE,Portuguese,0.643674987
MUSE,Romanian,0.5746413739
MUSE,Russian,0.6541346253
MUSE,Slovak,0.5795225384
MUSE,Slovenian,0.6109014535
MUSE,Spanish,0.6890000865
MUSE,Swedish,0.6081122166
MUSE,Turkish,0.6443722962
MUSE,Ukrainian,0.6590157899
MUSE,Vietnamese,0.5355920574
subs2vec,Arabic,0.3640539885
subs2vec,Bulgarian,0.6862108496
subs2vec,Catalan,0.5007265962
subs2vec,Croatian,0.6262422564
subs2vec,Czech,0.6276368748
subs2vec,Danish,0.6680808098
subs2vec,Dutch,0.7524552258
subs2vec,English,0.687605468
subs2vec,Estonian,0.5481436234
subs2vec,Finnish,0.3926436666
subs2vec,French,0.7154978369
subs2vec,Greek,0.4072871603
subs2vec,Hebrew,0.4051952326
subs2vec,Hungarian,0.6304261117
subs2vec,Indonesian,0.6820269942
subs2vec,Italian,0.675053902
subs2vec,Macedonian,0.5732467554
subs2vec,Norwegian,0.6492534607
subs2vec,Polish,0.6534373161
subs2vec,Portuguese,0.7078274355
subs2vec,Romanian,0.6590157899
subs2vec,Russian,0.3661459161
subs2vec,Slovak,0.6046256705
subs2vec,Slovenian,0.6666861913
subs2vec,Spanish,0.415654871
subs2vec,Swedish,0.6994597248
subs2vec,Turkish,0.5627871171
subs2vec,Ukrainian,0.4839911749
subs2vec,Vietnamese,0.5397759127
