Model,Language,Modularity
FastText,Arabic,0.7129455736
FastText,Bulgarian,0.7524591383
FastText,Catalan,0.7745402481
FastText,Croatian,0.7141077372
FastText,Czech,0.7582699567
FastText,Danish,0.7385131743
FastText,Dutch,0.757107793
FastText,English,0.757107793
FastText,Estonian,0.7617564477
FastText,Finnish,0.7931348668
FastText,French,0.7594321203
FastText,Greek,0.750134811
FastText,Hebrew,0.5653507875
FastText,Hungarian,0.7791889027
FastText,Indonesian,0.753621302
FastText,Italian,0.7594321203
FastText,Macedonian,0.7257293739
FastText,Norwegian,0.757107793
FastText,Polish,0.7931348668
FastText,Portuguese,0.7931348668
FastText,Romanian,0.7013239369
FastText,Russian,0.7071347552
FastText,Slovak,0.7175942282
FastText,Slovenian,0.7559456293
FastText,Spanish,0.8001078488
FastText,Swedish,0.6931887912
FastText,Turkish,0.7838375574
FastText,Ukrainian,0.8094051581
FastText,Vietnamese,0.5874318972
MUSE,Arabic,0.6897023002
MUSE,Bulgarian,0.739675338
MUSE,Catalan,0.739675338
MUSE,Croatian,0.7013239369
MUSE,Czech,0.7385131743
MUSE,Danish,0.7199185556
MUSE,Dutch,0.7385131743
MUSE,English,0.7664051024
MUSE,Estonian,0.7478104836
MUSE,Finnish,0.7257293739
MUSE,French,0.753621302
MUSE,Greek,0.7082969189
MUSE,Hebrew,0.3445396902
MUSE,Hungarian,0.7826753937
MUSE,Indonesian,0.7547834657
MUSE,Italian,0.760594284
MUSE,Macedonian,0.6838914818
MUSE,Norwegian,0.7443239926
MUSE,Polish,0.7489726473
MUSE,Portuguese,0.743161829
MUSE,Romanian,0.6745941724
MUSE,Russian,0.7454861563
MUSE,Slovak,0.6734320088
MUSE,Slovenian,0.7141077372
MUSE,Spanish,0.8012700125
MUSE,Swedish,0.7129455736
MUSE,Turkish,0.750134811
MUSE,Ukrainian,0.753621302
MUSE,Vietnamese,0.6676211904
subs2vec,Arabic,0.5304858774
subs2vec,Bulgarian,0.7989456851
subs2vec,Catalan,0.6467022444
subs2vec,Croatian,0.7733780844
subs2vec,Czech,0.7594321203
subs2vec,Danish,0.771053757
subs2vec,Dutch,0.8396214136
subs2vec,English,0.7780267391
subs2vec,Estonian,0.6908644638
subs2vec,Finnish,0.5479183324
subs2vec,French,0.8035943398
subs2vec,Greek,0.5641886238
subs2vec,Hebrew,0.5781345879
subs2vec,Hungarian,0.757107793
subs2vec,Indonesian,0.7908105394
subs2vec,Italian,0.7780267391
subs2vec,Macedonian,0.7059725915
subs2vec,Norwegian,0.7594321203
subs2vec,Polish,0.771053757
subs2vec,Portuguese,0.8070808308
subs2vec,Romanian,0.767567266
subs2vec,Russian,0.5269993864
subs2vec,Slovak,0.7489726473
subs2vec,Slovenian,0.7780267391
subs2vec,Spanish,0.5827832425
subs2vec,Swedish,0.7954591941
subs2vec,Turkish,0.7152699009
subs2vec,Ukrainian,0.6594860447
subs2vec,Vietnamese,0.6804049908
