Model,Language,Modularity
FastText,Arabic,0.6064139038
FastText,Bulgarian,0.6490265717
FastText,Catalan,0.6614229842
FastText,Croatian,0.5955670429
FastText,Czech,0.6505761233
FastText,Danish,0.6451526928
FastText,Dutch,0.6807923787
FastText,English,0.6807923787
FastText,Estonian,0.6730446209
FastText,Finnish,0.6800176029
FastText,French,0.6474770202
FastText,Greek,0.6583238811
FastText,Hebrew,0.4165938377
FastText,Hungarian,0.6993869974
FastText,Indonesian,0.6490265717
FastText,Italian,0.6490265717
FastText,Macedonian,0.623458971
FastText,Norwegian,0.6451526928
FastText,Polish,0.6784680513
FastText,Portuguese,0.6784680513
FastText,Romanian,0.5839454062
FastText,Russian,0.591693164
FastText,Slovak,0.6110625585
FastText,Slovenian,0.6529004506
FastText,Spanish,0.6924140154
FastText,Swedish,0.5730985453
FastText,Turkish,0.6877653607
FastText,Ukrainian,0.7086843068
FastText,Vietnamese,0.4320893533
MUSE,Arabic,0.5901436124
MUSE,Bulgarian,0.6405040381
MUSE,Catalan,0.6405040381
MUSE,Croatian,0.5932427156
MUSE,Czech,0.6412788139
MUSE,Danish,0.6226841952
MUSE,Dutch,0.6590986568
MUSE,English,0.6714950693
MUSE,Estonian,0.6567743295
MUSE,Finnish,0.6281076257
MUSE,French,0.6629725357
MUSE,Greek,0.6257832983
MUSE,Hebrew,0.292629713
MUSE,Hungarian,0.6924140154
MUSE,Indonesian,0.651350899
MUSE,Italian,0.6536752264
MUSE,Macedonian,0.5947922671
MUSE,Norwegian,0.6397292624
MUSE,Polish,0.644377917
MUSE,Portuguese,0.6482517959
MUSE,Romanian,0.5715489937
MUSE,Russian,0.6614229842
MUSE,Slovak,0.5901436124
MUSE,Slovenian,0.616485989
MUSE,Spanish,0.6931887912
MUSE,Swedish,0.6149364374
MUSE,Turkish,0.6660716389
MUSE,Ukrainian,0.6637473115
MUSE,Vietnamese,0.5297111016
subs2vec,Arabic,0.3902514612
subs2vec,Bulgarian,0.6970626701
subs2vec,Catalan,0.5366840836
subs2vec,Croatian,0.6544500022
subs2vec,Czech,0.6590986568
subs2vec,Danish,0.6815671545
subs2vec,Dutch,0.7667924903
subs2vec,English,0.6931887912
subs2vec,Estonian,0.566900339
subs2vec,Finnish,0.4041974253
subs2vec,French,0.7265041497
subs2vec,Greek,0.4258911471
subs2vec,Hebrew,0.4096208557
subs2vec,Hungarian,0.6544500022
subs2vec,Indonesian,0.6978374458
subs2vec,Italian,0.700936549
subs2vec,Macedonian,0.5940174913
subs2vec,Norwegian,0.669170742
subs2vec,Polish,0.683116706
subs2vec,Portuguese,0.728828477
subs2vec,Romanian,0.6652968631
subs2vec,Russian,0.3801793761
subs2vec,Slovak,0.6319815046
subs2vec,Slovenian,0.6846662576
subs2vec,Spanish,0.4220172682
subs2vec,Swedish,0.714882513
subs2vec,Turkish,0.5901436124
subs2vec,Ukrainian,0.521188568
subs2vec,Vietnamese,0.545981393
