Model,Language,Modularity
FastText,Arabic,0.7134059093
FastText,Bulgarian,0.7458307882
FastText,Catalan,0.765704101
FastText,Croatian,0.7060841624
FastText,Czech,0.7583823542
FastText,Danish,0.7479227158
FastText,Dutch,0.759428318
FastText,English,0.759428318
FastText,Estonian,0.746876752
FastText,Finnish,0.7887153054
FastText,French,0.7541984988
FastText,Greek,0.734325186
FastText,Hebrew,0.5627871171
FastText,Hungarian,0.7730258479
FastText,Indonesian,0.7479227158
FastText,Italian,0.7562904265
FastText,Macedonian,0.7311872945
FastText,Norwegian,0.7541984988
FastText,Polish,0.7751177755
FastText,Portuguese,0.7751177755
FastText,Romanian,0.6924866326
FastText,Russian,0.7050381986
FastText,Slovak,0.7092220539
FastText,Slovenian,0.7458307882
FastText,Spanish,0.7939451246
FastText,Swedish,0.6903947049
FastText,Turkish,0.7688419925
FastText,Ukrainian,0.8012668714
FastText,Vietnamese,0.6035797066
MUSE,Arabic,0.6903947049
MUSE,Bulgarian,0.734325186
MUSE,Catalan,0.734325186
MUSE,Croatian,0.6872568134
MUSE,Czech,0.7374630775
MUSE,Danish,0.7322332583
MUSE,Dutch,0.7416469328
MUSE,English,0.7636121733
MUSE,Estonian,0.7228195838
MUSE,Finnish,0.7259574753
MUSE,French,0.7583823542
MUSE,Greek,0.6966704879
MUSE,Hebrew,0.3148936882
MUSE,Hungarian,0.7730258479
MUSE,Indonesian,0.7510606073
MUSE,Italian,0.7552444627
MUSE,Macedonian,0.6820269942
MUSE,Norwegian,0.7437388605
MUSE,Polish,0.740600969
MUSE,Portuguese,0.740600969
MUSE,Romanian,0.6778431389
MUSE,Russian,0.7489686797
MUSE,Slovak,0.6726133197
MUSE,Slovenian,0.7134059093
MUSE,Spanish,0.7939451246
MUSE,Swedish,0.7039922348
MUSE,Turkish,0.7385090413
MUSE,Ukrainian,0.7458307882
MUSE,Vietnamese,0.6726133197
subs2vec,Arabic,0.5052591062
subs2vec,Bulgarian,0.790807233
subs2vec,Catalan,0.6213610918
subs2vec,Croatian,0.7479227158
subs2vec,Czech,0.7426928967
subs2vec,Danish,0.7625662095
subs2vec,Dutch,0.8336917503
subs2vec,English,0.778255667
subs2vec,Estonian,0.6820269942
subs2vec,Finnish,0.5512815149
subs2vec,French,0.7960370522
subs2vec,Greek,0.5533734426
subs2vec,Hebrew,0.5753386831
subs2vec,Hungarian,0.7416469328
subs2vec,Indonesian,0.7813935585
subs2vec,Italian,0.759428318
subs2vec,Macedonian,0.6987624156
subs2vec,Norwegian,0.7437388605
subs2vec,Polish,0.7510606073
subs2vec,Portuguese,0.7970830161
subs2vec,Romanian,0.7615202457
subs2vec,Russian,0.518856636
subs2vec,Slovak,0.7259574753
subs2vec,Slovenian,0.7636121733
subs2vec,Spanish,0.5732467554
subs2vec,Swedish,0.7855774139
subs2vec,Turkish,0.6956245241
subs2vec,Ukrainian,0.6286828387
subs2vec,Vietnamese,0.6715673559
