Model,Language,Modularity
FastText,Arabic,0.5345534502
FastText,Bulgarian,0.5851075699
FastText,Catalan,0.5949859611
FastText,Croatian,0.5264183045
FastText,Czech,0.5990535339
FastText,Danish,0.5885940609
FastText,Dutch,0.6321751985
FastText,English,0.6321751985
FastText,Estonian,0.6188103163
FastText,Finnish,0.6292697893
FastText,French,0.581039997
FastText,Greek,0.6031211068
FastText,Hebrew,0.3375667082
FastText,Hungarian,0.6507698172
FastText,Indonesian,0.5909183882
FastText,Italian,0.5862697335
FastText,Macedonian,0.5699994422
FastText,Norwegian,0.5787156697
FastText,Polish,0.6193913981
FastText,Portuguese,0.6193913981
FastText,Romanian,0.5229318135
FastText,Russian,0.5147966678
FastText,Slovak,0.5432696778
FastText,Slovenian,0.5885940609
FastText,Spanish,0.6257832983
FastText,Swedish,0.5136345042
FastText,Turkish,0.6298508712
FastText,Ukrainian,0.6525130627
FastText,Vietnamese,0.3491883449
MUSE,Arabic,0.5328102047
MUSE,Bulgarian,0.5787156697
MUSE,Catalan,0.5787156697
MUSE,Croatian,0.5316480411
MUSE,Czech,0.5932427156
MUSE,Danish,0.5676751148
MUSE,Dutch,0.6135805798
MUSE,English,0.6153238253
MUSE,Estonian,0.6083508433
MUSE,Finnish,0.5769724242
MUSE,French,0.5955670429
MUSE,Greek,0.5781345879
MUSE,Hebrew,0.2591206605
MUSE,Hungarian,0.637404935
MUSE,Indonesian,0.5885940609
MUSE,Italian,0.5920805519
MUSE,Macedonian,0.5432696778
MUSE,Norwegian,0.5682561967
MUSE,Polish,0.5926616337
MUSE,Portuguese,0.5822021607
MUSE,Romanian,0.5159588315
MUSE,Russian,0.6002156976
MUSE,Slovak,0.5240939772
MUSE,Slovenian,0.5630264601
MUSE,Spanish,0.6286887075
MUSE,Swedish,0.5543102326
MUSE,Turkish,0.6048643523
MUSE,Ukrainian,0.6013778612
MUSE,Vietnamese,0.4549452388
subs2vec,Arabic,0.3300126443
subs2vec,Bulgarian,0.637404935
subs2vec,Catalan,0.4700533666
subs2vec,Croatian,0.5926616337
subs2vec,Czech,0.5990535339
subs2vec,Danish,0.6240400528
subs2vec,Dutch,0.7164320646
subs2vec,English,0.626945462
subs2vec,Estonian,0.5078236858
subs2vec,Finnish,0.3259450715
subs2vec,French,0.6641346994
subs2vec,Greek,0.3480261812
subs2vec,Hebrew,0.327688317
subs2vec,Hungarian,0.5839454062
subs2vec,Indonesian,0.637404935
subs2vec,Italian,0.6455400807
subs2vec,Macedonian,0.521188568
subs2vec,Norwegian,0.6147427435
subs2vec,Polish,0.6066075978
subs2vec,Portuguese,0.6734320088
subs2vec,Romanian,0.6089319251
subs2vec,Russian,0.3027017981
subs2vec,Slovak,0.5624453783
subs2vec,Slovenian,0.6333373622
subs2vec,Spanish,0.3398910355
subs2vec,Swedish,0.6687833541
subs2vec,Turkish,0.5269993864
subs2vec,Ukrainian,0.4479722568
subs2vec,Vietnamese,0.4694722847
