Model,Language,Modularity
FastText,Arabic,0.5199025998
FastText,Bulgarian,0.5763846469
FastText,Catalan,0.5852753395
FastText,Croatian,0.5141497988
FastText,Czech,0.5863213034
FastText,Danish,0.5873672672
FastText,Dutch,0.6213610918
FastText,English,0.6213610918
FastText,Estonian,0.5993958513
FastText,Finnish,0.6234530195
FastText,French,0.5711548278
FastText,Greek,0.5795225384
FastText,Hebrew,0.3373819107
FastText,Hungarian,0.6386194951
FastText,Indonesian,0.5842293757
FastText,Italian,0.5795225384
FastText,Macedonian,0.5648790447
FastText,Norwegian,0.5795225384
FastText,Polish,0.60724058
FastText,Portuguese,0.60724058
FastText,Romanian,0.525132419
FastText,Russian,0.5120578711
FastText,Slovak,0.531408202
FastText,Slovenian,0.5753386831
FastText,Spanish,0.6192691641
FastText,Swedish,0.5073510338
FastText,Turkish,0.6051486524
FastText,Ukrainian,0.6428033504
FastText,Vietnamese,0.3588241693
MUSE,Arabic,0.5230404914
MUSE,Bulgarian,0.5674939543
MUSE,Catalan,0.5674939543
MUSE,Croatian,0.5209485637
MUSE,Czech,0.5816144661
MUSE,Danish,0.5701088639
MUSE,Dutch,0.6035797066
MUSE,English,0.6098554896
MUSE,Estonian,0.5800455203
MUSE,Finnish,0.5742927193
MUSE,French,0.5925970864
MUSE,Greek,0.5533734426
MUSE,Hebrew,0.2113432686
MUSE,Hungarian,0.6276368748
MUSE,Indonesian,0.5763846469
MUSE,Italian,0.5894591949
MUSE,Macedonian,0.531408202
MUSE,Norwegian,0.5690629001
MUSE,Polish,0.5784765746
MUSE,Portuguese,0.575861665
MUSE,Romanian,0.5204255818
MUSE,Russian,0.5915511225
MUSE,Slovak,0.5167647083
MUSE,Slovenian,0.5554653702
MUSE,Spanish,0.626590911
MUSE,Swedish,0.5455287138
MUSE,Turkish,0.582137448
MUSE,Ukrainian,0.5993958513
MUSE,Vietnamese,0.4592366974
subs2vec,Arabic,0.2955433573
subs2vec,Bulgarian,0.6229300376
subs2vec,Catalan,0.4236739271
subs2vec,Croatian,0.5606951894
subs2vec,Czech,0.5648790447
subs2vec,Danish,0.6098554896
subs2vec,Dutch,0.6982394337
subs2vec,English,0.6213610918
subs2vec,Estonian,0.481201938
subs2vec,Finnish,0.3148936882
subs2vec,French,0.6501250973
subs2vec,Greek,0.3300601638
subs2vec,Hebrew,0.3232613989
subs2vec,Hungarian,0.5544194064
subs2vec,Indonesian,0.6166542546
subs2vec,Italian,0.6161312726
subs2vec,Macedonian,0.493753504
subs2vec,Norwegian,0.595211996
subs2vec,Polish,0.5690629001
subs2vec,Portuguese,0.6464642239
subs2vec,Romanian,0.594689014
subs2vec,Russian,0.2939744115
subs2vec,Slovak,0.5329771478
subs2vec,Slovenian,0.6098554896
subs2vec,Spanish,0.3311061277
subs2vec,Swedish,0.6464642239
subs2vec,Turkish,0.4942764859
subs2vec,Ukrainian,0.4058925419
subs2vec,Vietnamese,0.4597596793
