Model,Language,Modularity
FastText,Arabic,0.8476058744
FastText,Bulgarian,0.8591899708
FastText,Catalan,0.8575229946
FastText,Croatian,0.8275694707
FastText,Czech,0.8691837278
FastText,Danish,0.8611940788
FastText,Dutch,0.8634026733
FastText,English,0.7070539682
FastText,Estonian,0.8690552782
FastText,Finnish,0.8588042211
FastText,French,0.8066924959
FastText,Greek,0.8532470878
FastText,Hebrew,0.8335559544
FastText,Hungarian,0.8724767967
FastText,Indonesian,0.8593864093
FastText,Italian,0.8427882623
FastText,Macedonian,0.870335956
FastText,Norwegian,0.8499625666
FastText,Polish,0.8647823725
FastText,Portuguese,0.8584430817
FastText,Romanian,0.83861486
FastText,Russian,0.7743267438
FastText,Slovak,0.8464276669
FastText,Slovenian,0.8539860386
FastText,Spanish,0.8520537764
FastText,Swedish,0.7929799809
FastText,Turkish,0.8617432461
FastText,Ukrainian,0.8662125802
FastText,Vietnamese,0.8220039535
MUSE,Arabic,0.8552307957
MUSE,Bulgarian,0.865339889
MUSE,Catalan,0.8660086591
MUSE,Croatian,0.8362747499
MUSE,Czech,0.863472764
MUSE,Danish,0.8689588593
MUSE,Dutch,0.8711150716
MUSE,English,0.8606138615
MUSE,Estonian,0.8794066475
MUSE,Finnish,0.8667817138
MUSE,French,0.8573321805
MUSE,Greek,0.8705287263
MUSE,Hebrew,0.5653959292
MUSE,Hungarian,0.8741367413
MUSE,Indonesian,0.8646078469
MUSE,Italian,0.8571894718
MUSE,Macedonian,0.8712787716
MUSE,Norwegian,0.8557945541
MUSE,Polish,0.8848073708
MUSE,Portuguese,0.85838784
MUSE,Romanian,0.8507035192
MUSE,Russian,0.8797200547
MUSE,Slovak,0.8601829098
MUSE,Slovenian,0.8617090634
MUSE,Spanish,0.8532308789
MUSE,Swedish,0.8525214471
MUSE,Turkish,0.8687438636
MUSE,Ukrainian,0.8824734289
MUSE,Vietnamese,0.8326855931
subs2vec,Arabic,0.8009118823
subs2vec,Bulgarian,0.878531588
subs2vec,Catalan,0.8101961133
subs2vec,Croatian,0.8295311338
subs2vec,Czech,0.8481145364
subs2vec,Danish,0.8416429367
subs2vec,Dutch,0.8616051471
subs2vec,English,0.817525527
subs2vec,Estonian,0.8014526879
subs2vec,Finnish,0.824716112
subs2vec,French,0.8585773173
subs2vec,Greek,0.8008997587
subs2vec,Hebrew,0.8008257288
subs2vec,Hungarian,0.7915174315
subs2vec,Indonesian,0.8450647901
subs2vec,Italian,0.860303373
subs2vec,Macedonian,0.8221435785
subs2vec,Norwegian,0.841809787
subs2vec,Polish,0.8389685016
subs2vec,Portuguese,0.87388794
subs2vec,Romanian,0.8457097781
subs2vec,Russian,0.8106866674
subs2vec,Slovak,0.8687907044
subs2vec,Slovenian,0.8809704126
subs2vec,Spanish,0.7915249833
subs2vec,Swedish,0.8537550726
subs2vec,Turkish,0.7386229437
subs2vec,Ukrainian,0.8442108193
subs2vec,Vietnamese,0.8177776171
